Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR},Distributor Short Code
6,2,G4S Utility Services (UK) Ltd,2013-12-18 00:00:00+00,,
7,2,G4S Utility Services (UK) Ltd,2003-12-19 00:00:00+00,,
8,2,G4S Utility Services (UK) Ltd,2007-10-12 00:00:00+00,,
11,2,G4S Utility Services (UK) Ltd,1999-10-29 00:00:00+00,,
13,2,G4S Utility Services (UK) Ltd,1999-10-29 00:00:00+00,,
22,2,G4S Utility Services (UK) Ltd,2007-10-12 00:00:00+00,,
31,4,Actaris UK Limited,2004-02-20 00:00:00+00,,
34,8,West Nash,2000-06-05 00:00:00+00,,
33,12,GB Energy Supply Limited,2013-08-14 00:00:00+00,,
7,14,ORSIS UK (Ltd),2008-09-02 00:00:00+00,,
8,14,Orsis UK (Ltd),2007-11-09 00:00:00+00,,
33,15,Ampere Energy Supply Limited,2011-06-15 00:00:00+00,2012-03-14 00:00:00+00,
33,16,Angel Energy Limited,2013-03-20 00:00:00+00,,
33,20,AXIS TELECOM LTD,2012-05-16 00:00:00+00,,
33,21,Axpo UK Limited,2013-05-15 00:00:00+00,,
33,22,Barbican Power Limited,2013-09-18 00:00:00+00,,
33,24,Bayswater Energy Limited,2013-03-20 00:00:00+00,,
1,26,British Gas Trading Ltd,2012-03-14 00:00:00+00,,
6,26,British Gas Trading Ltd,2013-11-20 00:00:00+00,,
22,26,British Gas Trading Ltd,2010-06-16 00:00:00+00,,
33,26,British Gas Trading Ltd,1996-04-01 00:00:00+00,,
33,28,British Gas Trading Ltd,2000-07-07 00:00:00+00,,
7,29,BGlobal Metering Limited,2003-12-19 00:00:00+00,,
8,29,BGlobal Metering Limited,2003-12-19 00:00:00+00,,
10,29,TMA Data Management Ltd,2010-06-16 00:00:00+00,,
11,29,BGlobal Metering Limited,2003-12-19 00:00:00+00,,
12,29,TMA Data Management Ltd,2010-06-16 00:00:00+00,,
13,29,BGlobal Metering Limited,2003-12-19 00:00:00+00,,
22,29,BGlobal Metering Limited,2006-07-01 00:00:00+00,,
22,30,BGlobal Metering Limited,2011-11-16 00:00:00+00,,
1,32,Electricity Plus Supply Limited,2012-09-19 00:00:00+00,,
33,32,Electricity Plus Supply Ltd,2004-11-05 00:00:00+00,,
34,33,Eggborough Power Ltd,2000-03-28 00:00:00+00,,
9,34,BT,2011-02-24 00:00:00+00,,
35,36,1 Embankment Place,1996-04-01 00:00:00+00,,
33,37,Extra Energy Supply Limited,2012-10-17 00:00:00+00,,
8,38,Inexus (Services) Limited,2005-03-25 00:00:00+00,,
22,38,Inexus (Services) Limited,2005-03-25 00:00:00+00,,
16,40,Logica UK Limited,1996-04-01 00:00:00+00,,
30,40,Logica UK Limited,1996-04-01 00:00:00+00,,
34,42,C/o InterGen (UK) Ltd,2000-08-11 00:00:00+00,,
4,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
7,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
8,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
10,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
11,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
12,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
13,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
19,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
21,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
22,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
25,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
27,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,97
31,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
32,48,MRA Service Company Limited,2011-12-14 00:00:00+00,,
4,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
7,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
8,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
10,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
11,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
12,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
13,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
19,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
21,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
22,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
25,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
27,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,98
31,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
32,49,MRA Service Company Limited,2011-12-14 00:00:00+00,,
4,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
7,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
8,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
10,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
11,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
12,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
13,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
19,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
21,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
22,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
25,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
27,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,99
31,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
32,50,MRA Service Company Limited,2011-12-14 00:00:00+00,,
35,50,MRA Service Company Limited,2014-10-15 00:00:00+00,,
1,51,Flow Energy Ltd,2013-05-15 00:00:00+00,,
33,51,Flow Energy Ltd,2011-06-15 00:00:00+00,,
33,52,NEAS Energy Limited,2009-11-18 00:00:00+00,,
1,53,Opus Energy (Corporate) Ltd.,2012-07-20 00:00:00+00,,
33,53,Opus Energy (Corporate) Ltd.,2004-11-05 00:00:00+00,,
33,54,I Supply Energy Limited,2009-06-12 00:00:00+00,,
33,56,Coulomb Energy Supply Limited,2011-06-15 00:00:00+00,,
33,58,Reuben Power Supply Limited,2007-01-01 00:00:00+00,,
8,59,Dummy ID for Customers,2003-03-14 00:00:00+00,,
9,59,Dummy ID for Customers,2012-02-15 00:00:00+00,,
34,60,c/o Entergy Power Group,2000-03-28 00:00:00+00,,
10,61,Siemens Operational Services,1996-04-01 00:00:00+00,,
12,61,Siemens Operational Services,1996-04-01 00:00:00+00,,
22,61,Siemens Operational Services,1996-04-01 00:00:00+00,,
35,62,Data & Communications Company,2013-11-07 00:00:00+00,,
34,64,Windmill Hill Business Park,2000-05-03 00:00:00+00,,
33,67,Donnington Energy Limited,2010-07-14 00:00:00+00,,
34,69,Windmill Hill Business Park,1999-08-20 00:00:00+00,,
33,70,Dual Energy Direct Limited,2010-02-17 00:00:00+00,,
18,71,30 Millbank,1996-04-01 00:00:00+00,,
33,72,BES Commercial Electricity Ltd,2009-11-18 00:00:00+00,,
33,73,British Gas Trading Ltd,2005-03-04 00:00:00+00,,
21,75,C&C Group Holdings Ltd,2006-02-10 00:00:00+00,,
33,76,Reuben Power Supply Limited,2000-01-21 00:00:00+00,,
33,77,Renewable Energy Company Ltd,2002-09-13 00:00:00+00,,
8,78,54 Bengeworth Road,2003-04-17 00:00:00+00,,
33,79,Energy Data Company Ltd,2013-11-20 00:00:00+00,,
2,81,EDF Energy Customers plc,2013-01-16 00:00:00+00,,
3,81,EDF Energy Customers plc,2013-09-18 00:00:00+00,,
8,81,EDF Energy Customer Field Service,2008-06-28 00:00:00+00,,
4,82,UK Power Networks (IDNO),2009-04-16 00:00:00+00,2014-12-17 00:00:00+00,
19,82,UK Power Networks (IDNO),2009-04-16 00:00:00+00,2014-12-17 00:00:00+00,
25,82,UK Power Networks (IDNO),2009-04-16 00:00:00+00,2014-12-17 00:00:00+00,
27,82,UK Power Networks (IDNO),2009-04-16 00:00:00+00,2014-12-17 00:00:00+00,28
32,82,UK Power Networks (IDNO),2009-04-16 00:00:00+00,2014-12-17 00:00:00+00,
33,83,Electricity Direct (UK),1996-04-01 00:00:00+00,,
1,85,E.ON UK,2012-08-15 00:00:00+00,,
4,85,Eastern Power Networks,1996-04-01 00:00:00+00,,
5,85,Wherstead Park,1996-04-01 00:00:00+00,,
7,85,Siemens Operational Services,2004-04-30 00:00:00+00,,
8,85,Eastern Power Networks,2003-04-17 00:00:00+00,,
11,85,Siemens Operational Services,1996-04-01 00:00:00+00,,
13,85,Siemens Operational Services,1996-04-01 00:00:00+00,,
19,85,Eastern Power Networks,1996-04-01 00:00:00+00,,
22,85,Siemens Operational Services,1996-04-01 00:00:00+00,,
25,85,Eastern Power Networks,1996-04-01 00:00:00+00,,
27,85,Eastern Power Networks,1996-04-01 00:00:00+00,,10
31,85,Wherstead Park,1996-04-01 00:00:00+00,,
32,85,Eastern Power Networks,1996-04-01 00:00:00+00,,
33,85,E.ON Energy Ltd,1996-04-01 00:00:00+00,,
1,86,E.ON UK,2012-08-15 00:00:00+00,,
33,86,E.ON Energy Ltd,1998-08-17 00:00:00+00,,
33,87,ECONOMY ENERGY SUPPLY LTD,2014-11-19 00:00:00+00,,
33,88,Economy Energy Trading Limited,2012-03-14 00:00:00+00,,
33,89,Effortless Energy Ltd,2015-01-21 00:00:00+00,,
34,90,Landsdowne House,1999-08-20 00:00:00+00,,
1,93,E.ON UK,2012-08-15 00:00:00+00,,
2,93,E.ON UK,2012-08-15 00:00:00+00,,
3,93,E.ON UK,2012-08-15 00:00:00+00,,
4,93,E.ON UK,1998-11-09 00:00:00+00,,
5,93,Siemens Metering Services,1998-11-09 00:00:00+00,2012-01-18 00:00:00+00,
7,93,Siemens Operational Services,2004-04-30 00:00:00+00,,
8,93,Western Power Distribution East Midlands,2003-05-29 00:00:00+00,,
11,93,E.ON UK Energy Services Limited,1996-04-01 00:00:00+00,,
13,93,E.ON UK Energy Services Limited,1996-04-01 00:00:00+00,,
19,93,Western Power Distribution East Midlands,1998-11-09 00:00:00+00,,
22,93,E.ON UK Energy Services Limited,1996-04-01 00:00:00+00,,
25,93,Western Power Distribution East Midlands,1996-04-01 00:00:00+00,,
27,93,Western Power Distribution East Midlands,1996-04-01 00:00:00+00,,11
31,93,Powergen Energy plc,1999-03-09 00:00:00+00,,
32,93,Western Power Distribution East Midlands,1998-11-09 00:00:00+00,,
33,93,E.ON Energy Ltd,1996-04-01 00:00:00+00,,
34,94,Wherstead park,2000-07-07 00:00:00+00,,
33,96,EPG Energy Ltd,2004-12-10 00:00:00+00,,
33,97,Eneco Energy Trade B.V.,2010-03-17 00:00:00+00,,
7,98,Energy Assets Ltd,2007-03-09 00:00:00+00,,
1,99,British Gas Trading Ltd,2012-03-14 00:00:00+00,,
33,99,British Gas Trading Ltd,1996-04-01 00:00:00+00,,
1,100,Opus Energy Renewables Limited,2012-07-20 00:00:00+00,,
33,100,Opus Energy Renewables Limited,2010-07-14 00:00:00+00,,
15,102,The National Grid Company Building,1996-04-01 00:00:00+00,,
33,103,Trafford Plaza,2002-08-09 00:00:00+00,,
28,105,Fairham House,1996-04-01 00:00:00+00,,
8,106,Westwood Way,2006-07-01 00:00:00+00,,
22,106,Eon UK Energy Services Ltd,2006-07-28 00:00:00+00,,
35,109,EMR SSP,2015-01-21 00:00:00+00,,
4,110,Electricity Network Company,2008-02-05 00:00:00+00,,
8,110,Energy House,2006-05-26 00:00:00+00,,
19,110,Energy House,2006-05-26 00:00:00+00,,
22,110,Energy House,2006-05-26 00:00:00+00,,
25,110,Energy House,2006-05-26 00:00:00+00,,
27,110,The Electricity Network Company Ltd,2006-05-26 00:00:00+00,,27
34,111,Wilton,1999-08-20 00:00:00+00,,
33,112,Europa Energy Supply Limited,2012-10-17 00:00:00+00,,
33,117,Farmoor Energy Limited,2010-07-14 00:00:00+00,,
33,119,IPM Energy Retail Ltd,2007-12-07 00:00:00+00,,
1,120,First Utility Ltd,2014-08-20 00:00:00+00,,
33,120,First Utility Ltd,2005-12-01 00:00:00+00,,
33,121,F & S Energy Ltd.,2013-01-16 00:00:00+00,,
8,122,19 South Audley Street,2006-10-06 00:00:00+00,,
33,123,LOCO2 Energy Supply Limited,2012-10-17 00:00:00+00,,
34,124,GUS Building,2000-05-03 00:00:00+00,,
3,125,Absolute Insulation Ltd,2013-02-20 00:00:00+00,,
2,126,Acrobat Carbon Services Ltd,2013-05-15 00:00:00+00,,
3,126,Acrobat Carbon Services Ltd,2013-08-14 00:00:00+00,,
2,127,Green Deal Advice 247 Ltd,2012-12-19 00:00:00+00,,
2,128,Advent Energy Management,2013-02-20 00:00:00+00,,
2,129,Astute Funding,2015-01-21 00:00:00+00,,
3,129,Astute Funding,2015-01-21 00:00:00+00,,
2,130,Agility Eco Services Ltd,2013-06-19 00:00:00+00,,
3,130,Agility Eco Services Ltd,2014-02-19 00:00:00+00,,
2,131,Anglian Home Improvements,2012-07-18 00:00:00+00,,
3,131,Anglian Home Improvements,2012-07-18 00:00:00+00,,
2,132,Allkaregreendeal Limited,2013-12-18 00:00:00+00,,
3,132,Allkaregreendeal Limited,2013-12-18 00:00:00+00,,
2,133,Anesco Ltd,2012-10-17 00:00:00+00,,
3,133,Anesco Ltd,2013-03-20 00:00:00+00,,
2,134,Ampere Green Deal Limited,2012-07-18 00:00:00+00,,
3,134,Ampere Green Deal Ltd,2013-10-16 00:00:00+00,,
2,135,AG Energy Solutions Ltd,2013-11-20 00:00:00+00,,
3,135,AG Energy Solutions Ltd,2013-11-20 00:00:00+00,,
2,136,AOS Energy Efficient Heating Systems Ltd,2013-02-20 00:00:00+00,,
3,136,AOS Energy Efficient Heating Systems Ltd,2013-09-18 00:00:00+00,,
2,137,Apple Panels Ltd,2012-10-17 00:00:00+00,,
2,138,Ace Plumbing Ltd,2014-02-19 00:00:00+00,,
3,138,Ace Plumbing Ltd,2014-02-19 00:00:00+00,,
2,139,Aran Services Ltd,2012-11-14 00:00:00+00,,
3,139,Aran Services Ltd,2013-04-17 00:00:00+00,,
2,140,Atlantic Contracting Limited,2013-06-19 00:00:00+00,,
3,140,Atlantic Contracting Limited,2013-06-19 00:00:00+00,,
2,141,Aura Energy Limited,2014-05-14 00:00:00+00,,
3,141,Aura Energy Limited,2014-05-14 00:00:00+00,,
2,142,Apex Green Ltd,2014-12-17 00:00:00+00,,
3,142,Apex Green Ltd,2014-12-17 00:00:00+00,,
2,143,AAA Green Solutions Ltd,2014-07-16 00:00:00+00,,
3,143,AAA Green Solutions Ltd,2014-07-16 00:00:00+00,,
2,144,Bartons of Duke Street,2014-08-20 00:00:00+00,,
3,144,Bartons of Duke Street,2014-08-20 00:00:00+00,,
2,145,Bartons of Duke Street Limited,2013-07-17 00:00:00+00,,
2,146,BritishEco Limited,2012-07-18 00:00:00+00,,
3,146,BritishEco Limited,2012-07-18 00:00:00+00,,
2,147,Centrica Finance (UK) Ltd,2014-02-19 00:00:00+00,,
3,147,Centrica Finance (UK) Ltd,2014-02-19 00:00:00+00,,
2,148,British Gas New Heating,2012-09-19 00:00:00+00,,
3,148,British Gas New Heating,2012-09-19 00:00:00+00,,
2,149,Brook Energy Services Ltd,2014-03-19 00:00:00+00,,
3,149,Brook Energy Services Ltd,2014-03-19 00:00:00+00,,
2,150,BMRE Limited,2014-05-14 00:00:00+00,,
3,150,BMRE Limited,2014-05-14 00:00:00+00,,
2,151,Broad Oak Properties Ltd,2013-08-14 00:00:00+00,,
2,152,GB Energy (Renewables) Ltd,2014-03-19 00:00:00+00,,
3,152,GB Energy (Renewables) Ltd,2014-03-19 00:00:00+00,,
2,153,Myblueskies Limited,2013-12-18 00:00:00+00,,
3,153,Myblueskies Limited,2013-12-18 00:00:00+00,,
2,154,CarbonLow Real Estate Limited,2013-07-17 00:00:00+00,,
3,154,CarbonLow Real Estate Limited,2013-07-17 00:00:00+00,,
2,155,Eco Carbon Print Limited,2014-05-14 00:00:00+00,,
3,155,Eco Carbon Print Limited,2014-05-14 00:00:00+00,,
35,156,MRA Service Company Limited,2012-03-14 00:00:00+00,,
2,157,Countrywide Green Deal Ltd,2013-12-18 00:00:00+00,,
2,158,Carillion Energy Services,2012-07-18 00:00:00+00,,
3,158,Carillion Energy Services,2012-07-18 00:00:00+00,,
2,159,CRG Finance,2013-10-16 00:00:00+00,,
2,160,CG Energy Ltd,2013-10-16 00:00:00+00,,
3,160,CG Energy Ltd,2013-10-16 00:00:00+00,,
2,161,Cornerstone Ltd,2014-02-19 00:00:00+00,,
3,161,Cornerstone Ltd,2014-02-19 00:00:00+00,,
2,162,Clarus Energy Ltd,2014-02-19 00:00:00+00,,
3,162,Clarus Energy Ltd,2014-02-19 00:00:00+00,,
2,163,CarbonLow Real Estate Ltd,2012-07-18 00:00:00+00,,
3,163,CarbonLow Real Estate Ltd,2012-07-18 00:00:00+00,,
2,164,Climate Energy Ltd,2012-11-14 00:00:00+00,,
3,164,Climate Energy Ltd,2012-11-14 00:00:00+00,,
2,165,CertiNergy Ltd,2013-11-20 00:00:00+00,,
3,165,CertiNergy Ltd,2014-10-15 00:00:00+00,,
2,166,The Energy Saving Co-operative,2013-03-20 00:00:00+00,,
2,167,Capital Energy,2012-12-19 00:00:00+00,,
2,168,Cardiff Energy Supply Limited,2014-12-17 00:00:00+00,,
3,168,Cardiff Energy Supply Limited,2014-12-17 00:00:00+00,,
2,169,Solarcrown UK Limited,2013-06-19 00:00:00+00,,
3,169,Solarcrown UK Limited,2014-07-16 00:00:00+00,,
2,170,City Energy South Wales Ltd,2012-09-19 00:00:00+00,,
2,171,Commercial Tech Services Ltd,2013-02-20 00:00:00+00,,
3,171,Commercial Tech Services Ltd,2013-02-20 00:00:00+00,,
2,172,Corporate Support Solutions,2013-09-18 00:00:00+00,,
3,172,Corporate Support Solutions,2013-09-18 00:00:00+00,,
2,173,Cenergist Limited,2014-08-20 00:00:00+00,,
3,173,Cenergist Limited,2014-08-20 00:00:00+00,,
2,174,City Energy Ltd,2014-06-18 00:00:00+00,,
3,174,City Energy Ltd,2014-06-18 00:00:00+00,,
2,175,Deveron Construction Ltd,2013-12-18 00:00:00+00,,
2,176,Green Deal and Eco Funding Ltd,2014-02-19 00:00:00+00,,
3,176,Green Deal and Eco Funding Ltd,2014-02-19 00:00:00+00,,
2,177,Domestic Green Energy Ltd,2013-08-14 00:00:00+00,,
2,178,Domestic & General Heating Ltd,2014-03-19 00:00:00+00,,
3,178,Domestic & General Heating Ltd,2014-03-19 00:00:00+00,,
2,179,Direct Savings (Scotland) Limited,2014-05-14 00:00:00+00,,
3,179,Direct Savings (Scotland) Limited,2014-05-14 00:00:00+00,,
2,180,Green Deal Direct Ltd,2012-11-14 00:00:00+00,,
2,181,Dodd Group (Midlands) Ltd,2014-02-19 00:00:00+00,,
2,182,Domestiv & General,2013-08-14 00:00:00+00,,
2,183,Green Deal Together,2013-10-16 00:00:00+00,,
3,183,Green Deal Together,2013-10-16 00:00:00+00,,
3,184,Green Energy Advisors Ltd,2013-12-18 00:00:00+00,,
2,185,Essex Insulation Ltd,2014-01-22 00:00:00+00,,
3,185,Essex Insulation Ltd,2014-01-22 00:00:00+00,,
2,186,The Big Green Energy Company,2012-10-17 00:00:00+00,,
3,186,The Big Green Energy Company,2013-10-17 00:00:00+00,,
2,187,Eco Deal Ltd,2013-01-16 00:00:00+00,,
3,187,Eco Deal Ltd,2013-09-18 00:00:00+00,,
2,188,Enact Energy Renewables Ltd,2012-07-18 00:00:00+00,,
2,189,Effective Energy Solutions Ltd,2013-05-15 00:00:00+00,,
3,189,Effective Energy Solutions Ltd,2013-08-14 00:00:00+00,,
3,190,Egnida Limited,2013-02-20 00:00:00+00,,
2,191,ECO Home Alternatives Ltd,2014-02-19 00:00:00+00,,
3,191,ECO Home Alternatives Ltd,2014-02-19 00:00:00+00,,
2,192,Elite Supplies Ltd,2013-12-18 00:00:00+00,,
3,192,Elite Supplies Ltd,2013-12-18 00:00:00+00,,
2,193,EcoJoules Ltd,2013-12-18 00:00:00+00,,
3,193,EcoJoules Ltd,2013-12-18 00:00:00+00,,
2,194,Efficient Finance (UK) Ltd,2014-02-19 00:00:00+00,,
3,194,Efficient Finance (UK) Ltd,2014-02-19 00:00:00+00,,
2,195,Energy With Limited,2013-07-17 00:00:00+00,,
2,196,Empower Community Mgt Ltd,2012-07-18 00:00:00+00,,
3,196,Empower Community Mgt Ltd,2012-07-18 00:00:00+00,,
2,197,Enhance Energy Ltd,2012-12-19 00:00:00+00,,
3,197,Enhance Energy Ltd,2013-10-16 00:00:00+00,,
2,198,Gdeco Ltd,2013-11-20 00:00:00+00,,
3,198,Gdeco Ltd,2013-11-20 00:00:00+00,,
2,199,Go-Green Energy (Group) Ltd,2013-10-16 00:00:00+00,,
3,199,Go-Green Energy (Group) Ltd,2013-02-20 00:00:00+00,,
2,200,Encraft,2013-10-16 00:00:00+00,,
3,200,Encraft,2013-10-16 00:00:00+00,,
2,201,Green Deal Energy Services UK,2013-01-16 00:00:00+00,,
3,201,Green Deal Energy Services UK,2013-09-18 00:00:00+00,,
2,202,Energy Trust,2012-11-14 00:00:00+00,,
3,202,Energy Trust,2013-08-14 00:00:00+00,,
2,203,Solar Europa Ltd,2013-02-20 00:00:00+00,,
3,203,Solar Europa Ltd,2013-02-20 00:00:00+00,,
2,204,EvoEnergy Ltd,2013-10-16 00:00:00+00,,
3,204,EvoEnergy Ltd,2013-10-16 00:00:00+00,,
2,205,Efficient Warm Energy Limited,2013-06-19 00:00:00+00,,
2,206,Green Deal Express,2012-11-14 00:00:00+00,,
3,206,Green Deal Express,2013-10-16 00:00:00+00,,
2,207,Everwarm Ltd,2014-12-17 00:00:00+00,,
3,207,Everwarm Ltd,2014-12-17 00:00:00+00,,
2,208,Green Energy Advisors Limited,2014-05-14 00:00:00+00,,
3,208,Green Energy Advisors Limited,2014-05-14 00:00:00+00,,
